statusId | label
3|jump
statusId|sensorName|value|timestamp
3|K3DH Acceleration Sensor|[-1.2803127,2.669588,9.534244]|1395667125054
3|K3DH Acceleration Sensor|[-0.38136974,2.2473574,9.738548]|1395667125256
3|Gravity Sensor|[-0.38136974,2.2473574,9.738548]|1395667125256
3|Linear Acceleration Sensor|[0.0,0.0,0.0]|1395667125256
3|K3DH Acceleration Sensor|[-0.313268,2.2473574,9.629586]|1395667125266
3|Gravity Sensor|[-0.38136953,2.2473574,9.738549]|1395667125265
3|Linear Acceleration Sensor|[0.068101525,0.0,-0.10896301]|1395667125265
3|K3DH Acceleration Sensor|[-0.29964766,2.2745981,9.507003]|1395667125276
3|Gravity Sensor|[-0.38136694,2.2473574,9.738544]|1395667125276
3|Linear Acceleration Sensor|[0.08171928,0.027240753,-0.23154163]|1395667125276
3|K3DH Acceleration Sensor|[-0.25878662,2.2882185,9.493382]|1395667125286
3|Gravity Sensor|[-0.38135678,2.2473588,9.7385235]|1395667125287
3|Linear Acceleration Sensor|[0.12257016,0.0408597,-0.24514103]|1395667125286
3|K3DH Acceleration Sensor|[-0.2860273,2.2473574,9.438901]|1395667125297
3|Gravity Sensor|[-0.38132894,2.247363,9.738465]|1395667125297
3|Linear Acceleration Sensor|[0.09530163,-5.722046E-6,-0.29956436]|1395667125296
3|K3DH Acceleration Sensor|[-0.27240697,2.2473574,9.507003]|1395667125307
3|Gravity Sensor|[-0.381269,2.247373,9.738336]|1395667125307
3|Linear Acceleration Sensor|[0.10886204,-1.5735626E-5,-0.23133278]|1395667125306
3|K3DH Acceleration Sensor|[-0.23154591,2.2609777,9.507003]|1395667125316
3|Gravity Sensor|[-0.381159,2.2473924,9.738092]|1395667125317
3|Linear Acceleration Sensor|[0.1496131,0.013585329,-0.23108959]|1395667125317
3|K3DH Acceleration Sensor|[-0.21792556,2.2882185,9.425281]|1395667125327
3|Gravity Sensor|[-0.38097858,2.2474234,9.73769]|1395667125326
3|Linear Acceleration Sensor|[0.16305302,0.040795088,-0.3124094]|1395667125327
3|K3DH Acceleration Sensor|[-0.24516626,2.3426998,9.41166]|1395667125337
3|Gravity Sensor|[-0.38070473,2.2474694,9.737078]|1395667125337
3|Linear Acceleration Sensor|[0.13553847,0.09523034,-0.32541752]|1395667125337
3|K3DH Acceleration Sensor|[-0.25878662,2.3426998,9.343558]|1395667125347
3|Gravity Sensor|[-0.38031307,2.2475352,9.736207]|1395667125347
3|Linear Acceleration Sensor|[0.12152645,0.09516454,-0.3926487]|1395667125347
3|K3DH Acceleration Sensor|[-0.313268,2.3426998,9.316318]|1395667125357
3|Gravity Sensor|[-0.37977922,2.2476306,9.735026]|1395667125357
3|Linear Acceleration Sensor|[0.066511214,0.09506917,-0.4187088]|1395667125357
3|K3DH Acceleration Sensor|[-0.23154591,2.3018389,9.248216]|1395667125367
3|Gravity Sensor|[-0.37907997,2.2477674,9.733473]|1395667125367
3|Linear Acceleration Sensor|[0.14753406,0.054071426,-0.48525715]|1395667125367
3|K3DH Acceleration Sensor|[-0.16344418,2.2473574,9.220976]|1395667125378
3|Gravity Sensor|[-0.37819815,2.2479594,9.73149]|1395667125377
3|Linear Acceleration Sensor|[0.21475397,-6.020069E-4,-0.51051426]|1395667125377
3|K3DH Acceleration Sensor|[-0.16344418,2.2745981,9.2073555]|1395667125388
3|Gravity Sensor|[-0.3771142,2.248219,9.729009]|1395667125388
3|Linear Acceleration Sensor|[0.21367003,0.026379108,-0.5216532]|1395667125388
3|K3DH Acceleration Sensor|[-0.20430522,2.2882185,9.220976]|1395667125397
3|Gravity Sensor|[-0.37581554,2.2485528,9.725978]|1395667125397
3|Linear Acceleration Sensor|[0.17151032,0.0396657,-0.505002]|1395667125398
3|K3DH Acceleration Sensor|[-0.27240697,2.2882185,9.289077]|1395667125408
3|Gravity Sensor|[-0.37428457,2.248966,9.722339]|1395667125408
3|Linear Acceleration Sensor|[0.1018776,0.03925252,-0.43326187]|1395667125407
3|K3DH Acceleration Sensor|[-0.313268,2.2201166,9.343558]|1395667125418
3|Gravity Sensor|[-0.37249735,2.249464,9.718011]|1395667125418
3|Linear Acceleration Sensor|[0.059229344,-0.02934742,-0.3744526]|1395667125418
3|K3DH Acceleration Sensor|[-0.29964766,2.2609777,9.384419]|1395667125428
3|Gravity Sensor|[-0.37045327,2.2500448,9.712972]|1395667125428
3|Linear Acceleration Sensor|[0.07080561,0.010932922,-0.32855225]|1395667125428
3|K3DH Acceleration Sensor|[-0.38136974,2.3018389,9.275456]|1395667125438
3|Gravity Sensor|[-0.3681531,2.2507052,9.707192]|1395667125438
3|Linear Acceleration Sensor|[-0.0132166445,0.051133633,-0.431736]|1395667125439
3|K3DH Acceleration Sensor|[-0.43585113,2.2745981,9.234595]|1395667125448
3|Gravity Sensor|[-0.3656002,2.2514415,9.700637]|1395667125448
3|Linear Acceleration Sensor|[-0.07025093,0.023156643,-0.46604156]|1395667125448
3|K3DH Acceleration Sensor|[-0.38136974,2.2882185,9.261836]|1395667125458
3|Gravity Sensor|[-0.3628215,2.2522464,9.693318]|1395667125458
